ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{ef761a02-1673-43f9-bb98-70796e5febe2}\" DisplayName=\"Year / Make / Model\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Text\" />","<Field ID=\"{5d4f5c26-e6b8-4865-aa94-fef1c0b27d2f}\" DisplayName=\"License Plate #\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Note\" />","<Field ID=\"{3911d007-a79d-4a2f-aae5-e5d4e3e9c06f}\" DisplayName=\"Vin # / Serial #\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Text\" />","<Field ID=\"{3c2fd59a-82de-4c9a-800d-315684067774}\" DisplayName=\"Next Service Due\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{3c0fe85a-b738-45dc-8cb0-a27538eae53a}\" DisplayName=\"Last Service\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{94d3aa7b-302b-4eff-bbb3-f45ffd111e67}\" DisplayName=\"Scheduled\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{fc40987b-c44f-472a-b8e2-59c199daf3ba}\" DisplayName=\"Aditional notes\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" />","<Field ID=\"{44cbcc15-c8ad-465d-83ad-6c9845113174}\" DisplayName=\"Service completed this year\" Name=\"field_8\" StaticName=\"field_8\" Type=\"Text\" />","<Field ID=\"{38c57c13-8b8a-4981-b691-30a3fe1ef191}\" DisplayName=\"Invoice Recieved\" Name=\"field_9\" StaticName=\"field_9\" Type=\"Text\" />","<Field ID=\"{e59d871f-164c-4d88-8e3c-536662d1c1f8}\" DisplayName=\"Payment Method\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Year / Make / Model","License Plate %23","Vin %23 / Serial %23","Next Service Due","Last Service","Scheduled","Aditional notes","Service completed this year","Invoice Recieved","Payment Method"
"OPS","2022 Ford F550","G710069Z","1FD0W5HT6NEE23293","4/9/2026","4/9/2025",,"10MAR26: Request for service sent to vendor (JW). Follow up with vendor on 19MAR26 (JW)","NO","No","Vehicle: GSA // Box: 2407 w/ Comsupcen"
"(UCS)","2015 International MA035","
G820947V","1HTMKAAL4FH73279","4/9/2026","4/9/2025",,"10MAR26: Request for service sent to vendor (JW). Follow up with vendor on 19MAR26 (JW)","YES","No","Vehicle: GSA // Box : NAVAIR"
"1SG(Dually)","2019 Ford F550","G710615V","1FDOX5HT2KEC91853","4/9/2026","4/9/2025",,"10MAR26: Request for service sent to vendor (JW). Follow up with vendor on 19MAR26 (JW)","NO","No","Vehicle: GSA // Box: 2407 w/ Comsupcen"
"ADVON","2015 Ford F450","G710550N","1FD9W4HT4FEB33766","4/9/2026","4/9/2025",,"10MAR26: Request for service sent to vendor (JW). Follow up with vendor on 19MAR26 (JW)","NO","No","Vehicle: GSA // Box : NAVAIR"
"DECON","2015 Ford F450","G710612R","1FD9W4HT7GEA45442","5/27/2026","5/28/2025",,"Records were previously held as V4, This vehicle was given to Decon as theirs was excess. ","YES","No","Vehicle: GSA // Box: 2407 w/ Comsupcen"
"(MRV)","2015 Chevy Express","G310210S","1GB3G2CL1F11255533","5/29/2026","5/29/2025",,,"YES","No","Vehicle: GSA // Box: 2407 w/ Comsupcen"
"S-TRLR 28'","2020 Forest River Tandem Axle","W63271T","5NHUEHV26LB480160","6/26/2026","6/26/2025",,"MCN: 233001X014795","YES","No","2407 w/ Comsupcen"
"V5T (white) ","20XX Haulmark Tandem Axle",,"16HG16249A032228","9/4/2026","9/5/2025",,,"YES",,"PR "
"ALPHA","2019 Ford F550","G711104V","1FD0W5HTXKEC63849","10/2/2026","10/2/2025",,,"YES",,"Vehicle: GSA // Box: 2407 w/ Comsupcen"
"BRAVO","2019 Ford F550","G711084V","1FD0W5HT8KEC63848","10/2/2026","10/2/2025",,,"YES",,"Vehicle: GSA // Box: 2407 w/ Comsupcen"
"(ALS)","2019 International","G820817V","1HTEUTAN0KH403831","10/2/2026","10/2/2025",,,"YES",,"Vehicle: GSA // Box: 2407 w/ Comsupcen"
"P2-Green","2024 Polaris Ranger","n/a","4XAT6E994R8468135","1/15/2027","1/15/2026","10/7/2025","Service complete. Pending Invoice. ","YES","No","2407 w/ Comsupcen"
"P1-BLACK","2011 Polaris Ranger ","n/a","4XAWH76A6B2000384","1/15/2027","1/15/2026","10/7/2025","Service complete. Pending Invoice. ","YES","No","2407 w/ Comsupcen"
"S-TRLR-24'","Forest River Tandem Axle","W64119T","52LBE2424RE098736","2/24/2027","2/24/2026","2/24/2026",,"YES","No","2407 w/ Comsupcen"
"(TOC) ","Featherlite Tandem Axle","W63374T","4FGA42228MC154084","2/24/2027","2/24/2026","2/24/2026",,"YES","No","2407 w/ Comsupcen"
